,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3731,CSS1103100010174116151,37,32,27,40,59,20,9,4,1,2,1,0,0,0,1,1,1,1,0,0,0,1,1,2,2,4,6,3,2,3,32,31,76,66,5
3732,CSS1103091290644104724,47,39,31,45,45,12,7,3,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,6,4,3,3,32,30,68,73,5
3733,CSS1103091230694138108,37,33,30,46,57,17,5,3,2,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,3,3,6,4,3,3,34,31,70,69,0
3734,CSS1103091210714125129,42,37,32,45,48,15,6,2,2,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,3,3,6,4,2,3,35,30,72,69,5
3735,CSS1103090210754157685,34,29,25,28,18,16,8,5,3,64,0,0,0,0,1,2,2,1,1,0,0,1,1,1,3,3,9,4,2,1,36,32,67,66,4
3736,CSS1103090150704112168,41,38,34,50,55,9,1,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,1,1,3,3,7,4,2,2,41,34,77,52,1
3737,CSS1103090040484148259,39,34,27,34,37,16,7,4,6,25,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,5,4,3,3,35,31,77,63,2
3738,CSS1103090040474141871,41,36,29,40,46,17,11,4,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,3,5,4,3,4,35,31,76,64,2
3739,CSS1103081210694128465,29,28,27,45,67,23,7,2,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,3,3,6,4,3,3,34,29,74,66,5
3740,CSS1103061090814103414,46,38,29,40,50,14,8,3,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,3,3,6,4,2,2,34,33,75,63,2
3741,CSS1103061090734110235,36,34,29,46,61,18,5,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,6,4,2,3,33,29,72,69,0
3742,CSS1103060090544123204,37,32,29,40,40,17,10,6,7,13,0,0,0,0,1,2,1,1,0,0,1,1,1,2,3,4,7,5,2,1,42,36,80,45,2
3743,CSS1103051320504137801,24,23,23,40,72,35,9,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,3,5,4,3,6,36,31,72,66,0
3744,CSS1103051290604101116,23,22,21,35,61,45,18,3,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,3,6,5,3,4,35,29,64,74,0
3745,CSS1103051290504110890,25,25,24,42,74,31,7,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,6,5,4,9,43,38,82,37,0
3746,CSS1103051290464145262,45,40,33,45,49,12,4,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,5,4,3,6,35,31,76,62,5
3747,CSS1103051070734123798,17,17,17,32,64,41,22,11,5,3,1,0,0,0,1,1,1,1,1,1,0,0,1,1,2,3,6,4,3,4,34,29,72,69,1
3748,CSS1103050040844106641,28,27,22,31,37,50,30,3,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,3,3,5,4,3,3,35,31,74,63,4
3749,CSS1103041070634134344,27,26,25,43,73,28,6,1,1,1,2,0,0,0,1,1,1,1,0,0,1,1,1,1,2,2,5,5,3,7,34,28,68,72,0
3750,CSS1103021230624105270,25,25,24,42,73,31,7,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,3,3,35,31,72,66,0
3751,CSS1103021210544107799,26,24,23,42,70,30,9,3,2,2,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,2,5,4,3,8,35,30,71,67,0
3752,CSS1103021180644127479,45,39,32,44,45,13,6,1,1,1,3,0,0,0,1,1,1,1,0,0,1,1,1,1,2,3,6,4,3,4,34,29,76,64,5
3753,CSS1103021180544101250,22,22,21,39,74,37,11,2,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,6,4,3,7,35,29,67,72,0
3754,CSS1103021180524113561,33,30,28,43,61,24,8,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,2,5,4,3,7,33,31,71,69,0
3755,CSS1103020040694108268,45,39,34,47,37,13,8,5,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,3,5,4,3,7,32,29,71,70,5
3756,CSS1103020040694102816,45,40,35,46,37,12,7,5,2,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,3,5,4,3,7,32,29,71,70,5
